Realtime [sec],Sim Time [sec],MPC runtime,v0_dist [m],v0_lane [-],v0_spd [m/s],v0_acc [m/s2],v1_dist [m],v1_lane [-],v1_spd [m/s],v1_acc [m/s2],v1_accCmd [m/s2]
64.51651656100876,64.8,0.009667158126831055,210.29465864000008,0.0,0.19668,-0.6555999999999897,155.59521372631747,0.0,3.5481133460998535,0.0,-0.0673685371875763
64.61555988900363,64.9,0.008735895156860352,210.3077706400001,0.0,0.13112,-0.6556000000000001,155.95001007476176,0.0,3.5616695880889893,0.13556241989135742,-0.06289157271385193
64.81544609300909,65.0,0.007385730743408203,210.31432664000008,0.0,0.0655599999999999,-0.6556000000000008,156.30576139838854,0.0,3.5662755966186523,0.04606008529663086,-0.07077095657587051
64.8255318349984,65.1,0.009267091751098633,210.31472000000008,0.0,0.00393360000000014,-0.6162639999999975,156.6613087594173,0.0,3.5651116371154785,-0.011639595031738281,-0.06924183666706085
64.91578575599124,65.2,0.009376287460327148,210.31472000000008,0.0,0.0,-0.0393360000000014,157.01675491763024,0.0,3.5633320808410645,-0.017795562744140625,-0.07532648742198944
65.01578109900584,65.3,0.008840084075927734,210.31472000000008,0.0,0.0,0.0,157.372216627611,0.0,3.568620204925537,0.05288124084472656,-0.07359637320041656
65.1153888849949,65.4,0.00897073745727539,210.31472000000008,0.0,0.0,0.0,157.7277725787992,0.0,3.565363883972168,-0.032563209533691406,-0.07699187099933624
65.21478409401607,65.5,0.0088653564453125,210.31472000000008,0.0,0.0,0.0,158.0826608956379,0.0,3.5580458641052246,-0.0731801986694336,-0.09237922728061676
65.31546539501869,65.6,0.009062051773071289,210.31472000000008,0.0,0.0,0.0,158.43675578597995,0.0,3.5687263011932373,0.10680437088012695,-0.07938283681869507
65.41569065800286,65.7,0.009332895278930664,210.31472000000008,0.0,0.0,0.0,158.79379940961235,0.0,3.5969135761260986,0.2818727493286133,-0.08753091841936111
65.51586173099349,65.8,0.008647680282592773,210.31472000000008,0.0,0.0,0.0,159.50669366269378,0.0,3.5652246475219727,-0.31688928604125977,-0.08753091841936111
65.61455539200688,65.9,0.008367776870727539,210.31472000000008,0.0,0.0,0.0,159.50669366269378,0.0,3.5652246475219727,0.0,-0.09400729835033417
65.71479272801662,66.0,0.009176969528198242,210.31472000000008,0.0,0.0,0.0,159.8641398247764,0.0,3.5899195671081543,0.2469491958618164,-0.09499642252922058
65.91573877600604,66.1,0.006622791290283203,210.31472000000008,0.0,0.0,0.0,160.2228086707809,0.0,3.596273899078369,0.06354331970214844,-0.09897370636463165
65.92523489499581,66.2,0.009469985961914062,210.31472000000008,0.0,0.0,0.0,160.580934905048,0.0,3.5893237590789795,-0.06950139999389648,-0.09698514640331268
66.0161483270058,66.3,0.008986949920654297,210.31472000000008,0.0,0.0,0.0,160.93962485063162,0.0,3.6040918827056885,0.14768123626708984,-0.09375971555709839
66.11456422001356,66.4,0.009954452514648438,210.31472000000008,0.0,0.0,0.0,161.2988468134227,0.0,3.6022825241088867,-0.018093585968017578,-0.11126930266618729
66.21548970401636,66.5,0.009272098541259766,210.31472000000008,0.0,0.0,0.0,161.6568987964992,0.0,3.5872883796691895,-0.14994144439697266,-0.09703641384840012
66.31520102999639,66.6,0.011022329330444336,210.31472000000008,0.0,0.0,0.0,162.01383289559885,0.0,3.5839006900787354,-0.033876895904541016,-0.11337348818778992
66.41699873501784,66.7,0.008664846420288086,210.31472000000008,0.0,0.0,0.0,162.37205847148056,0.0,3.6011040210723877,0.17203330993652344,-0.11577742546796799
66.51467569801025,66.8,0.008773326873779297,210.31472000000008,0.0,0.0,0.0,162.73087247328328,0.0,3.6017637252807617,0.006597042083740234,-0.11307702958583832
66.6147235929966,66.9,0.008315801620483398,210.31472000000008,0.0,0.0,0.0,163.44556224864755,0.0,3.602308750152588,0.005450248718261719,-0.11307702958583832
66.71466502299882,67.0,0.011029481887817383,210.31472000000008,0.0,0.0,0.0,163.44556224864755,0.0,3.602308750152588,0.0,-0.13342952728271484
66.81655644101556,67.1,0.008611917495727539,210.31472000000008,0.0,0.0,0.0,163.8033536277623,0.0,3.6006157398223877,-0.016930103302001953,-0.13293667137622833
67.01496158199734,67.2,0.007188558578491211,210.31472000000008,0.0,0.0,0.0,164.1608494159118,0.0,3.605670690536499,0.05054950714111328,-0.13464169204235077
67.0252104520041,67.3,0.00994253158569336,210.31472000000008,0.0,0.0,0.0,164.51920792451068,0.0,3.610360860824585,0.046901702880859375,-0.13843517005443573
67.1159991780005,67.4,0.008678913116455078,210.31472000000008,0.0,0.0,0.0,164.87762067638715,0.0,3.6099932193756104,-0.0036764144897460938,-0.14053875207901
67.2148525280063,67.5,0.00904393196105957,210.31472000000008,0.0,0.0,0.0,165.23578492210973,0.0,3.60745906829834,-0.025341510772705078,-0.1451125144958496
67.31551324299653,67.6,0.008871793746948242,210.31472000000008,0.0,0.0,0.0,165.59451270018718,0.0,3.617884397506714,0.10425329208374023,-0.1438065618276596
67.41470330499578,67.7,0.00863027572631836,210.31472000000008,0.0,0.0,0.0,165.95386113517972,0.0,3.616783857345581,-0.011005401611328125,-0.152415469288826
67.51452140900074,67.8,0.008866548538208008,210.31472000000008,0.0,0.0,0.0,166.31253692489645,0.0,3.608882188796997,-0.07901668548583984,-0.14305371046066284
67.61470941599691,67.9,0.010917425155639648,210.31472000000008,0.0,0.0,0.0,167.03428734601312,0.0,3.6115238666534424,0.026416778564453125,-0.14305371046066284
67.71691488500801,68.0,0.00960540771484375,210.31472000000008,0.0,0.0,0.0,167.03428734601312,0.0,3.6115238666534424,0.0,-0.16302716732025146
67.81520452199038,68.1,0.00844717025756836,210.31472000000008,0.0,0.0,0.0,167.39513377953736,0.0,3.6062612533569336,-0.05262613296508789,-0.15865522623062134
68.01481034001336,68.2,0.006996870040893555,210.31472000000008,0.0,0.0,0.0,167.7564947994039,0.0,3.6176671981811523,0.1140594482421875,-0.1584143340587616
68.02331502299057,68.3,0.008739948272705078,210.31472000000008,0.0,0.0,0.0,168.11738624178432,0.0,3.605854034423828,-0.11813163757324219,-0.1561994105577469
68.11447967001004,68.4,0.008457660675048828,210.31472000000008,0.0,0.0,0.0,168.47718707394412,0.0,3.597404956817627,-0.08449077606201172,-0.16430695354938507
68.21476383501431,68.5,0.00906062126159668,210.31472000000008,0.0,0.0,0.0,168.8364515938167,0.0,3.5955464839935303,-0.018584728240966797,-0.16751663386821747
68.31570921800449,68.6,0.008949995040893555,210.31472000000008,0.0,0.0,0.0,169.19645141344046,0.0,3.6056652069091797,0.10118722915649414,-0.16637779772281647
68.41437935101567,68.7,0.008856058120727539,210.31472000000008,0.0,0.0,0.0,169.5561494500257,0.0,3.600231885910034,-0.05433320999145508,-0.17217808961868286
68.51523595000617,68.8,0.009915351867675781,210.31472000000008,0.0,0.0,0.0,169.91610282910005,0.0,3.6086230278015137,0.08391141891479492,-0.17025189101696014
68.61606970900903,68.9,0.009259223937988281,210.31472000000008,0.0,0.0,0.0,170.27608505679314,0.0,3.600778341293335,-0.07844686508178711,-0.1672094464302063
68.71552301599877,69.0,0.009229898452758789,210.31472000000008,0.0,0.0,0.0,170.99311097970332,0.0,3.5921175479888916,-0.0866079330444336,-0.1672094464302063
68.81516235799063,69.1,0.010324954986572266,210.31472000000008,0.0,0.0,0.0,170.99311097970332,0.0,3.5921175479888916,0.0,-0.17888513207435608
68.9166757420171,69.2,0.008632183074951172,210.31472000000008,0.0,0.0,0.0,171.3510963532519,0.0,3.5889461040496826,-0.031714439392089844,-0.17962175607681274
69.11490921801305,69.3,0.00701904296875,210.31472000000008,0.0,0.0,0.0,171.70869031976522,0.0,3.5836660861968994,-0.05280017852783203,-0.1739519089460373
69.12535812400165,69.4,0.009074687957763672,210.31472000000008,0.0,0.0,0.0,172.0648121298098,0.0,3.5703794956207275,-0.13286590576171875,-0.18296219408512115
69.21479468900361,69.5,0.010443925857543945,210.31472000000008,0.0,0.0,0.0,172.42034776885018,0.0,3.568232297897339,-0.02147197723388672,-0.17966796457767487
69.3170411940082,69.6,0.009132146835327148,210.31472000000008,0.0,0.0,0.0,172.77486345173122,0.0,3.554006814956665,-0.14225482940673828,-0.18623211979866028
69.415481567994,69.7,0.008619546890258789,210.31472000000008,0.0,0.0,0.0,173.1278523769426,0.0,3.5508954524993896,-0.031113624572753906,-0.1829785406589508
69.51452810599585,69.8,0.009100914001464844,210.31472000000008,0.0,0.0,0.0,173.48076445601941,0.0,3.549163579940796,-0.0173187255859375,-0.18683898448944092
69.61532765999436,69.9,0.00898599624633789,210.31472000000008,0.0,0.0,0.0,173.83230647625157,0.0,3.534891366958618,-0.14272212982177734,-0.19197049736976624
69.71552598799462,70.0,0.008996725082397461,210.31472000000008,0.0,0.0,0.0,174.18254740946082,0.0,3.526228666305542,-0.08662700653076172,-0.18737313151359558
69.81504776701331,70.1,0.009585142135620117,210.31472000000008,0.0,0.0,0.0,174.87995074170075,0.0,3.507577896118164,-0.1865077018737793,-0.18737313151359558
69.91628785501234,70.2,0.009785890579223633,210.31472000000008,0.0,0.0,0.0,174.87995074170075,0.0,3.507577896118164,0.0,-0.18800878524780273
70.01529456800199,70.3,0.008597373962402344,210.31472000000008,0.0,0.0,0.0,175.2261189550504,0.0,3.4871742725372314,-0.20403623580932617,-0.19433079659938812
70.21469835401513,70.4,0.007584333419799805,210.31472000000008,0.0,0.0,0.0,175.57151305186588,0.0,3.489985466003418,0.028111934661865234,-0.1885131448507309
70.22627517301589,70.5,0.00996255874633789,210.31472000000008,0.0,0.0,0.0,178.58395411552422,0.0,3.481971263885498,-0.08014202117919922,-0.19079330563545227
70.31649180100067,70.6,0.008924007415771484,210.31472000000008,0.0,0.0,0.0,178.93029909005352,0.0,3.449845790863037,-0.3212547302246094,-0.19782070815563202
70.41492245800328,70.7,0.008189916610717773,210.31472000000008,0.0,0.0,0.0,179.27553957571254,0.0,3.4513275623321533,0.01481771469116211,-0.19190678000450134
70.51478697999846,70.8,0.00889730453491211,210.31472000000008,0.0,0.0,0.0,179.62120904487023,0.0,3.450690507888794,-0.00637054443359375,-0.2010989636182785
70.61464980899473,70.9,0.008691787719726562,210.31472000000008,0.0,0.0,0.0,179.96562093566519,0.0,3.430882453918457,-0.19808053970336914,-0.1983938366174698
70.71452479701838,71.0,0.009797811508178711,210.31472000000008,0.0,0.0,0.0,180.30809845400324,0.0,3.419707775115967,-0.11174678802490234,-0.20326033234596252
70.81613443800597,71.1,0.009526491165161133,210.31472000000008,0.0,0.0,0.0,180.99222092225435,0.0,3.4044363498687744,-0.15271425247192383,-0.20326033234596252
70.91627338700346,71.2,0.009638309478759766,210.31472000000008,0.0,0.0,0.0,180.99222092225435,0.0,3.4044363498687744,0.0,-0.20229798555374146
71.0159823760041,71.3,0.00859522819519043,210.31472000000008,0.0,0.0,0.0,181.33253129263585,0.0,3.3975892066955566,-0.06847143173217773,-0.20144711434841156
71.21534073801013,71.4,0.006550312042236328,210.31472000000008,0.0,0.0,0.0,181.672213571894,0.0,3.3889336585998535,-0.08655548095703125,-0.20518241822719574
71.22548338500201,71.5,0.008996725082397461,210.31472000000008,0.0,0.0,0.0,182.01103815263855,0.0,3.378031015396118,-0.10902643203735352,-0.20524951815605164
